metric_id,source_name,source_url,local_path,format,status,verified_fields,remaining_gap
student_recruitment,대학알리미 4-다 신입생 충원 현황,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_27_freshman_fill_school.xlsx,XLSX,acquired,"입학정원; 모집인원; 지원자; 입학자; 정원내 신입생 충원율","없음"
student_recruitment,대학알리미 4-라-1 재학생 충원율,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_29_student_fill_school.xlsx,XLSX,acquired,"학생정원; 학생모집정지인원; 재학생; 재학생충원율; 정원내 재학생 충원율","없음"
student_recruitment,대학알리미 4-마 재적 학생 현황,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_31_enrolled_students_school.xlsx,XLSX,acquired,"학생정원; 재학생; 휴학생; 재적학생","없음"
adjunct_faculty,대학알리미 6-가-1 전체 교원 대비 전임교원 현황,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_51_faculty_fulltime_ratio_school.xlsx,XLSX,partial,"전임교원; 비전임교원; 겸임교원; 초빙교원; 강사; 기타교원","겸임교원 확보율의 공식 분모 정의 확인 필요"
adjunct_faculty,대학알리미 12-나-2 교원 강의 담당 비율,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_153_faculty_lecture_share_school.xlsx,XLSX,partial,"전임교원 강의담당 학점/비율; 겸임교원 강의담당 학점/비율; 비전임교원 계","겸임교원 확보율 산식이 강의담당 비율인지 인원 확보율인지 확정 필요"
staff_per_student,대학알리미 14-사 직원 현황,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_195_staff_status_school.xlsx,XLSX,acquired,"특정직; 일반직; 기술직; 별정직; 기능직; 고용직; 기타; 총계","재학생 분모는 4-마 재적 학생 현황과 결합"
scholarship_ratio,대학알리미 12-다-1 장학금 수혜 현황,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_157_scholarship_school.xlsx,XLSX,acquired,"재학생; 교외 장학금; 교내 장학금; 장학금 총액","등록금수입 분모는 교비회계 결산과 결합"
scholarship_ratio,한국장학재단 대학별 장학금 수혜 현황,https://www.data.go.kr/data/15038576/fileData.do,data/raw/pending_manual/scholarship/kosaf_scholarship_by_university_20250831.csv,CSV,acquired,"조사연도; 기준연도; 학교명; 교외장학금 소계; 교내장학금 소계; 총계","등록금수입 분모는 교비회계 결산과 결합"
classroom_area,대학알리미 14-라 교사시설 확보 현황,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_192_building_facilities_school.xlsx,XLSX,partial,"기준면적; 기본시설; 지원시설; 연구시설; 교사시설확보율","강의실/멀티미디어 강의실 세부 면적은 이 파일에는 없음"
classroom_area,한국사학진흥재단 교육용 건물 세부현황 2021-2025,https://uniarlimi.kasfo.or.kr/knowledge/data2Room/36314?pageIdx=1,data/raw/pending_manual/facilities/kasfo_education_buildings_detail_2021_2025.xlsx,XLSX,partial,"강의실; 실험실습실; 교수연구실; 행정실; 도서관; 교사면적","멀티미디어 강의실 별도 컬럼은 확인되지 않음"
lab_area,한국사학진흥재단 교육용 건물 세부현황 2021-2025,https://uniarlimi.kasfo.or.kr/knowledge/data2Room/36314?pageIdx=1,data/raw/pending_manual/facilities/kasfo_education_buildings_detail_2021_2025.xlsx,XLSX,partial,"실험실습실; 연구용 실험실; 대학원 실험실; 교육기본시설","4주기 편람의 계열별 실험실습실 면적은 공개 파일에서 확인되지 않음"
lab_area,한국사학진흥재단 2025년 교지·교사 현황,https://uniarlimi.kasfo.or.kr/knowledge/data2Room/36315?pageIdx=1,data/raw/pending_manual/facilities/kasfo_land_buildings_2025.xlsx,XLSX,partial,"교육용 토지; 교육용 건물; 강의실; 실험실습실","2025 단년 보조자료이며 계열별 실험실습실 면적은 없음"
lab_equipment,대학알리미 9-나-1 학생 1인당 교육비 국공립,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_140_education_cost_public_school.xlsx,XLSX,partial,"대학/법인/일반회계; 발전기금회계; 산학협력단회계; 도서구입비; 기계기구매입비; 재학생수","계열별 실험실습 기자재 구입비는 없음"
lab_equipment,대학알리미 9-나-2 학생 1인당 교육비 사립,https://www.academyinfo.go.kr/popup/main0810/list.do,data/raw/pending_manual/academyinfo/academyinfo_2025_141_education_cost_private_school.xlsx,XLSX,partial,"교비회계; 산학협력단회계; 도서구입비; 기계기구매입비; 재학생수","계열별 실험실습 기자재 구입비는 없음"
lab_equipment,한국사학진흥재단 최근 5개년도 사립대학 교비회계 결산 DB,https://www.data.go.kr/data/15125332/fileData.do,data/raw/pending_manual/finance/kasfo_private_university_tuition_nontuition_settlement_db_5yr_20250113.xlsx,XLSX,partial,"등록금회계/비등록금회계; 자금계산서; 기계기구매입비; 집기비품매입비; 회계연도","계열별 배분 및 2025회계연도 결산은 공개 전"
